original_key,edited_key,normalized,pages
Laurence Juber,Laurence Juber,"Juber, Laurence","33, 38, 45, 46, 48, 52, 56, 57, 59, 73, 74, 83, 99, 101, 105, 116, 124, 126, 131, 133, 155, 172, 305, 359, 403, 412"
Leo Sayer,Leo Sayer,"Sayer, Leo","51, 56, 59, 112, 113, 123, 133, 171, 173, 399, 406"
Leonard Bernstein,Leonard Bernstein,"Bernstein, Leonard","118, 165, 176, 177, 268, 382, 413, 415"
Leslie Smith,Leslie Smith,"Smith, Leslie","124, 141, 283, 327"
Let's Make Lots Of Money,Let's Make Lots Of Money,Let's Make Lots Of Money,"259, 260, 261"
Lifetime Records,Lifetime Records,Lifetime Records,"244, 285"
Like Giving Love,Like Giving Love,Like Giving Love,"190, 424"
Lost My Heart To,Lost My Heart To,Lost My Heart To,"107, 423"
Luck Be a Lady,Luck Be a Lady,Luck Be a Lady,"306, 310"
Lucky To Be Me,Lucky To Be Me,Lucky To Be Me,"164, 165, 379, 380, 382"
Luther Vandross,Luther Vandross,"Vandross, Luther","102, 124, 232, 283"
Lyle Mays,Lyle Mays,"Mays, Lyle","61, 106, 108, 129, 138, 177, 241, 294, 416"
Lyle Mays-ish,Lyle Mays-ish,"Mays-ish, Lyle","242, 245"
Mabel Todd,Mabel Todd,"Todd, Mabel","4, 5, 8, 9, 12"
Maceo Parker,Maceo Parker,"Parker, Maceo","153, 170, 355, 397"
Malcolm Maddock,Malcolm Maddock,"Maddock, Malcolm","110, 120, 135, 151, 154, 251, 272, 310, 313, 350, 357"
Manfred Eicher,Manfred Eicher,"Eicher, Manfred","59, 60, 62, 132, 135, 140"
Manfred Mann,Manfred Mann,"Mann, Manfred","19, 43, 82, 187"
Mariah Carey,Mariah Carey,"Carey, Mariah","337, 427"
Mark Egan,Mark Egan,"Egan, Mark","62, 130, 139, 175, 177, 297, 410, 415"
Mark Nightingale,Mark Nightingale,"Nightingale, Mark","119, 160, 163, 172, 174, 270, 371, 377, 400, 407"
Mark White,Mark White,"White, Mark","92, 157, 208, 363"
Marti Pellow,Marti Pellow,"Pellow, Marti","350, 427"
Martin Fry,Martin Fry,"Fry, Martin","92, 157, 208, 363"
Martin Shaw,Martin Shaw,"Shaw, Martin","131, 135, 300, 309"
Martin Taylor,Martin Taylor,"Taylor, Martin","59, 170, 395"
Marvin Gaye,Marvin Gaye,"Gaye, Marvin","8, 19, 59, 130, 170, 396"
Meat Loaf,Meat Loaf,"Loaf, Meat","85, 97, 193, 220"
Melody Maker,Melody Maker,Melody Maker,"41, 42, 43"
Metropolis Studios,Metropolis Studios,Metropolis Studios,"227, 374"
Michael Ball,Michael Ball,"Ball, Michael","151, 153, 350, 355"
Michael Brecker,Michael Brecker,"Brecker, Michael","65, 127, 129, 147, 290, 294"
Michael Jackson,Michael Jackson,"Jackson, Michael","315, 316"
Michael McDonald,Michael McDonald,"McDonald, Michael","225, 283, 314, 317, 319, 369"
Michael Ruff,Michael Ruff,"Ruff, Michael","110, 112, 124, 127, 132, 134, 136, 167, 173, 250, 254, 283, 290, 302, 308, 314, 388, 406, 425"
Michael Ruff Band,Michael Ruff Band,Michael Ruff Band,"327, 425"
Michel Legrand,Michel Legrand,"Legrand, Michel","164, 165, 379, 382, 428"
Mick Taylor,Mick Taylor,"Taylor, Mick","19, 20, 44, 45"
Mike Batt,Mike Batt,"Batt, Mike","147, 148, 341, 344"
Mike Bigwood,Mike Bigwood,"Bigwood, Mike","87, 95, 100, 120, 158, 197, 214, 216, 228, 271, 364"
Mike Gibbs,Mike Gibbs,"Gibbs, Mike","26, 27, 32, 60, 61, 71"
Mike Hawker,Mike Hawker,"Hawker, Mike","35, 77, 82, 186"
Mike Moran,Mike Moran,"Moran, Mike","51, 69, 113, 157"
Mike Parlett,Mike Parlett,"Parlett, Mike","169, 172, 393, 400"
